IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
231590;231589;231590;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231589;105;;;
231592;231591;231592;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231591;105;;;
231594;231593;231594;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231593;105;;;
231596;231595;231596;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231595;105;;;
231598;231597;231598;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231597;105;;;
231600;231599;231600;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231599;105;;;
231602;231601;231602;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231601;105;;;
231604;231603;231604;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231603;105;;;
231606;231605;231606;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231605;105;;;
231608;231607;231608;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231607;105;;;
231610;231609;231610;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231609;105;;;
231612;231611;231612;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231611;105;;;
231614;231613;231614;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231613;105;;;
231616;231615;231616;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231615;105;;;
231618;231617;231618;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231617;105;;;
231620;231619;231620;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231619;105;;;
231622;231621;231622;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231621;105;;;
231624;231623;231624;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231623;105;;;
