№ по ФП;Код заказа 1С (группа);Автор/авторский коллектив;Наименование учебника по проекту Федерального перечня;Класс;Автор и полное наименование в 1С Издательства.;Принадлежность к системе учебников;Цена с доставкой (в т.ч. НДС), руб.
1.1.1.1.2.1;AST000000000183567;Андрианова Т.М.;Букварь;1;Андрианова Т.М.Букварь;фгос;293,00
1.1.1.1.2.2;AST000000000183580;Андрианова Т.М., Илюхина В.А.;Русский язык.;1;Андрианова Т.М., Илюхина В.А.Русский язык.;фгос;285,00
1.1.1.1.2.3;AST000000000183581;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях.;2;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 1;фгос;339,00
1.1.1.1.2.3;AST000000000183582;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;2;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 2;фгос;339,00
1.1.1.1.2.4;AST000000000183583;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;3;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 1;фгос;339,00
1.1.1.1.2.4;AST000000000183584;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;3;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 2;фгос;339,00
1.1.1.1.2.5;AST000000000183585;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;4;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 1;фгос;316,00
1.1.1.1.2.5;AST000000000183586;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях.;4;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 2;фгос;316,00
1.1.1.2.3.1;AST000000000183527;Кац Э.Э.;Литературное чтение.;1;Кац Э.Э.Литературное чтение.;фгос;313,00
1.1.1.2.3.2;AST000000000183528;Кац Э.Э.;Литературное чтение в 2-х частях.;2;Кац Э.Э.Литературное чтение в 2-х частях. Часть 1;фгос;359,00
1.1.1.2.3.2;AST000000000183529;Кац Э.Э.;Литературное чтение в 2-х частях. ;2;Кац Э.Э.Литературное чтение в 2-х частях. Часть 2;фгос;359,00
1.1.1.2.3.3;AST000000000183530;Кац Э.Э.;Литературное чтение в 3-х частях. ;3;Кац Э.Э.Литературное чтение в 3-х частях. Часть 1;фгос;285,00
1.1.1.2.3.3;AST000000000183531;Кац Э.Э.;Литературное чтение в 3-х частях. ;3;Кац Э.Э.Литературное чтение в 3-х частях. Часть 2;фгос;285,00
1.1.1.2.3.3;AST000000000183532;Кац Э.Э.;Литературное чтение в 3-х частях. ;3;Кац Э.Э.Литературное чтение в 3-х частях. Часть 3;фгос;272,00
1.1.1.2.3.4;AST000000000183533;Кац Э.Э.;Литературное чтение в 3-х частях.  ;4;Кац Э.Э.Литературное чтение в 3-х частях. Часть 1;фгос;285,00
1.1.1.2.3.4;AST000000000183534;Кац Э.Э.;Литературное чтение в 3-х частях.  ;4;Кац Э.Э.Литературное чтение в 3-х частях. Часть 2;фгос;285,00
1.1.1.2.3.4;AST000000000183535;Кац Э.Э.;Литературное чтение в 3-х частях.  ;4;Кац Э.Э.Литературное чтение в 3-х частях. Часть 3;фгос;285,00
1.1.2.1.2.1;AST000000000183472;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях.;1;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 1;фгос;313,00
1.1.2.1.2.1;AST000000000183473;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;1;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 2;фгос;313,00
1.1.2.1.2.2;AST000000000183474;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;2;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 1;фгос;293,00
1.1.2.1.2.2;AST000000000183475;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях.;2;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 2;фгос;293,00
1.1.2.1.2.3;AST000000000183476;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;3;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 1;фгос;313,00
1.1.2.1.2.3;AST000000000183477;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;3;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 2;фгос;313,00
1.1.2.1.2.4;AST000000000183478;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;4;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 1;фгос;313,00
1.1.2.1.2.4;AST000000000183479;Башмаков М.И., Нефедова М.Г.;Математика в 2-х частях. ;4;Башмаков М.И., Нефедова М.Г.Математика в 2-х частях. Часть 2;фгос;320,00
