;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
№ ФП массового учебника;Система;Код 1С;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система
1.1.1.1.4.1;Школа России;04-0153-01;1;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 3-х частях. Ч.1 (для слабовидящих обучающихся);Горецкий В.Г. (1);;2016;660,00;;Школа России
1.1.1.1.4.1;Школа России;04-0154-01;1;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 3-х частях. Ч.2 (для слабовидящих обучающихся);Горецкий В.Г. (1);;2016;660,00;;Школа России
1.1.1.1.4.1;Школа России;04-0155-01;1;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 3-х частях. Ч.3 (для слабовидящих обучающихся);Горецкий В.Г. (1);;2016;660,00;;Школа России
1.1.1.1.4.2;Школа России;05-0569-01;1;Канакина В. П., Горецкий В. Г.;Русский язык. 1 класс. В 3-х ч. Ч. 1 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.2;Школа России;05-0570-01;1;Канакина В. П., Горецкий В. Г.;Русский язык. 1 класс. В 3-х ч. Ч. 2 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;605,00;;Школа России
1.1.1.1.4.2;Школа России;05-0571-01;1;Канакина В. П., Горецкий В. Г.;Русский язык. 1 класс. В 3-х ч. Ч. 3 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;605,00;;Школа России
1.1.1.1.4.3;Школа России;05-0572-01;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 4-х ч. Ч. 1 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.3;Школа России;05-0573-01;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 4-х ч. Ч. 2 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.3;Школа России;05-0574-01;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 4-х ч. Ч. 3 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.3;Школа России;05-0575-01;2;Канакина В. П., Горецкий В. Г.;Русский язык. 2 класс. В 4-х ч. Ч. 4 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.4;Школа России;05-0576-01;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 5-и ч. Ч. 1 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.4;Школа России;05-0577-01;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 5-и ч. Ч. 2 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.4;Школа России;05-0578-01;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 5-и ч. Ч. 3 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.4;Школа России;05-0579-01;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 5-и ч. Ч. 4 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.4;Школа России;05-0580-01;3;Канакина В. П., Горецкий В. Г.;Русский язык. 3 класс. В 5-и ч. Ч. 5 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;550,00;;Школа России
1.1.1.1.4.5;Школа России;05-0581-01;4;Канакина В. П., Горецкий В. Г.;Русский язык. 4 класс. В 5-и ч. Ч. 1 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.5;Школа России;05-0582-01;4;Канакина В. П., Горецкий В. Г.;Русский язык. 4 класс. В 5-и ч. Ч. 2 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
1.1.1.1.4.5;Школа России;05-0583-01;4;Канакина В. П., Горецкий В. Г.;Русский язык. 4 класс. В 5-и ч. Ч. 3 (для слабовидящих обучающихся);Канакина В.П. (1-4);;2016;660,00;;Школа России
