Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_1;Комарова И.В.,Перретт Ж. Английский язык 2кл.;1.1.1.3.6.1;1.1.1.3.6.1;Английский язык 2кл.;Комарова И.В.,Перретт Ж.;2;0,18;105
rus_efu_2;Комарова Ю.А.,Ларионова И.В.,Перретт Ж. Английский язык 3кл.;1.1.1.3.6.2;1.1.1.3.6.2;Английский язык 3кл.;Комарова Ю.А.,Ларионова И.В.,Перретт Ж.;3;0,18;105
rus_efu_3;Комарова Ю.А.,Ларионова И.В.,Перретт Ж. Английский язык 4кл.;1.1.1.3.6.3;1.1.1.3.6.3;Английский язык 4кл.;Комарова Ю.А.,Ларионова И.В.,Перретт Ж.;4;0,18;105
rus_efu_4;Комарова Ю.А.,Ларионова И.В.,Грейнджер К. Английский язык 5кл.;1.2.1.3.7.1;1.2.1.3.7.1;Английский язык 5кл.;Комарова Ю.А.,Ларионова И.В.,Грейнджер К.;5;0,18;105
rus_efu_5;Комарова Ю.А., Ларионова И.В., Макбет К. Английский язык 6кл.;1.2.1.3.7.2;1.2.1.3.7.2;Английский язык 6кл.;Комарова Ю.А., Ларионова И.В., Макбет К.;6;0,18;105
rus_efu_6;Комарова Ю.А.,Ларионова И.В.,Макбет К. Английский язык 7кл.;1.2.1.3.7.3;1.2.1.3.7.3;Английский язык 7кл.;Комарова Ю.А.,Ларионова И.В.,Макбет К.;7;0,18;105
rus_efu_7;Комарова Ю.А.,Ларионова И.В.,Макбет К. Английский язык 8кл.;1.2.1.3.7.4;1.2.1.3.7.4;Английский язык 8кл.;Комарова Ю.А.,Ларионова И.В.,Макбет К.;8;0,18;105
rus_efu_8;Комарова Ю.А., Ларионова И.В., Макбет К. Английский язык 9кл.;1.2.1.3.7.5;1.2.1.3.7.5;Английский язык 9кл.;Комарова Ю.А., Ларионова И.В., Макбет К.;9;0,18;105
rus_efu_9;Комарова Ю.А.,Ларионова И.В.,Араванис Р.,Вассилакис Дж. Английский язык 10кл.;1.3.2.1.4.1;1.3.2.1.4.1;Английский язык 10кл.;Комарова Ю.А.,Ларионова И.В.,Араванис Р.,Вассилакис Дж.;10;0,18;105
rus_efu_10;Комарова Ю.А.,Ларионова И.В.,Араванис Р. ,Кокрейн С. Английский язык.11кл.;1.3.2.1.4.2;1.3.2.1.4.2;Английский язык.11кл.;Комарова Ю.А.,Ларионова И.В.,Араванис Р. ,Кокрейн С.;11;0,18;105
rus_efu_11;Исаева Т.А.,Романова Н.И. Биология 6 кл.;1.2.4.2.4.2;1.2.4.2.4.2;Биология 6 кл.;Исаева Т.А.,Романова Н.И.;6;0,18;105
rus_efu_12;Тихонова Е.Т.,Романова Н.И. Биология 7 кл.;1.2.4.2.4.3;1.2.4.2.4.3;Биология 7 кл.;Тихонова Е.Т.,Романова Н.И.;7;0,18;105
rus_efu_13;Плешаков А.А.,Введенский Э.Л. Биология.Введение в биологию. 5 класс;1.2.4.2.4.1;1.2.4.2.4.1;Биология.Введение в биологию. 5 класс;Плешаков А.А.,Введенский Э.Л.;5;0,18;105
rus_efu_14;Жемчугова М.Б.,Романова Н.И. Биология 8 кл.;1.2.4.2.4.4;1.2.4.2.4.4;Биология 8 кл.;Жемчугова М.Б.,Романова Н.И.;8;0,18;105
rus_efu_15;Данилов С.Б.,Романова Н.И.,Владимирская А.И. Биология 9 кл.;1.2.4.2.4.5;1.2.4.2.4.5;Биология 9 кл.;Данилов С.Б.,Романова Н.И.,Владимирская А.И.;9;0,18;105
rus_efu_16;Данилов С.Б.,Владимирская А.И.,Романова Н.И. Биология 10 кл.Базовый уровень;1.3.5.5.3.1;1.3.5.5.3.1;Биология 10 кл.Базовый уровень;Данилов С.Б.,Владимирская А.И.,Романова Н.И.;10;0,18;105
rus_efu_17;Данилов С.Б.,Владимирская А.И.,Романова Н.И. Биология 11 кл.Базовый уровень;1.3.5.5.3.2;1.3.5.5.3.2;Биология 11 кл.Базовый уровень;Данилов С.Б.,Владимирская А.И.,Романова Н.И.;11;0,18;105
rus_efu_18;Михайловский Ф. А. Всеобщая история.История древнего мира 5кл;1.2.2.2.4.1;1.2.2.2.4.1;Всеобщая история.История древнего мира 5кл;Михайловский Ф. А.;5;0,18;105
