№ ФП ;Код 1С (группа);Автор/авторский коллектив;Наименование учебника;Класс;Цена с доставкой (в т.ч. НДС), руб.
1.1.1.1.5.1;VEN000000000426153;Журова Л.Е., Евдокимова А.О.;Букварь. 1 класс. В 2 ч.;1;339,00
1.1.1.1.5.1;VEN000000000426140;Журова Л.Е., Евдокимова А.О.;Букварь. 1 класс. В 2 ч.;1;339,00
1.1.1.1.5.2;VEN000000000426117;Иванов С.В., Евдокимова А.О., Кузнецова М.И. / Под ред. Журовой Л.Е. и Иванова С.В.;Русский язык. 1 класс. ;1;339,00
1.1.1.1.5.3;DRF000000000722771;Иванов С.В., Евдокимова А.О., Кузнецова М.И., Петленко Л.В., Романова В.Ю. / Под ред. Иванова С.В. ;Русский язык. 2 класс. В 2 ч.;2;358,00
1.1.1.1.5.3;DRF000000000722772;Иванов С.В., Евдокимова А.О., Кузнецова М.И., Петленко Л.В., Романова В.Ю. / Под ред. Иванова С.В. ;Русский язык. 2 класс. В 2 ч.;2;358,00
1.1.1.1.5.4;VEN000000000426156;Иванов С.В., Евдокимова А.О., Кузнецова М.И., Петленко Л.В., Романова В.Ю;Русский язык. 3 класс. В 2 ч.;3;363,00
1.1.1.1.5.4;VEN000000000426146;Иванов С.В., Евдокимова А.О., Кузнецова М.И., Петленко Л.В., Романова В.Ю;Русский язык. 3 класс. В 2 ч.;3;363,00
1.1.1.1.5.5;VEN000000000426176;Иванов С.В., Кузнецова М.И., Петленко Л.В., Романова В.Ю.;Русский язык. 4 класс. В 2 ч.;4;363,00
1.1.1.1.5.5;VEN000000000426155;Иванов С.В., Кузнецова М.И., Петленко Л.В., Романова В.Ю.;Русский язык. 4 класс. В 2 ч.;4;363,00
1.1.1.2.2.1;VEN000000000425787;Ефросинина Л.А.;Литературное чтение. 1 класс. ;1;339,00
1.1.1.2.2.2;DRF000000000722787;Ефросинина Л.А.;Литературное чтение. 2 класс. В 2 ч.;2;358,00
1.1.1.2.2.2;DRF000000000722788;Ефросинина Л.А.;Литературное чтение. 2 класс. В 2 ч.;2;358,00
1.1.1.2.2.3;DRF000000000722793;Ефросинина Л.А., Оморокова М.И.;Литературное чтение. 3 класс. В 2 ч.;3;363,00
1.1.1.2.2.3;DRF000000000722794;Ефросинина Л.А., Оморокова М.И.;Литературное чтение. 3 класс. В 2 ч.;3;363,00
1.1.1.2.2.4;VEN000000000425842;Ефросинина Л.А., Оморокова М.И.;"Литературное чтение. 4 класс.  В 2 ч. ";4;363,00
1.1.1.2.2.4;VEN000000000425832;Ефросинина Л.А., Оморокова М.И.;"Литературное чтение. 4 класс.  В 2 ч. ";4;363,00
1.1.1.2.1.1;VEN000000000425851;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 1 класс. В 2 ч.;1;334,00
1.1.1.2.1.1;VEN000000000425806;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 1 класс. В 2 ч.;1;334,00
1.1.1.2.1.2;VEN000000000425777;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 2 класс. В 2 ч.;2;342,00
1.1.1.2.1.2;VEN000000000425778;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 2 класс. В 2 ч.;2;342,00
1.1.1.2.1.3;DRF000000000723285;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 3 класс. В 2 ч.;3;351,00
1.1.1.2.1.3;DRF000000000723286;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 3 класс. В 2 ч.;3;351,00
1.1.1.2.1.4;VEN000000000425833;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 4 класс. В 3 ч.;4;351,00
1.1.1.2.1.4;VEN000000000425834;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 4 класс. В 3 ч.;4;351,00
1.1.1.2.1.4;VEN000000000425803;Виноградова Н.Ф., Хомякова И.С., Сафонова И.В., Петрова В.И. / Под ред. Виноградовой Н.Ф.;Литературное чтение. 4 класс. В 3 ч.;4;351,00
1.1.1.3.4.1;VEN000000000425744;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд, Оралова О.В. / Под ред. Вербицкой М.В. ;Английский язык. 2 класс. (В 2 ч.)     1 часть с CD диском;2;388,00
1.1.1.3.4.1;VEN000000000425736;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд, Оралова О.В. / Под ред. Вербицкой М.В. ;Английский язык. 2 класс. (В 2 ч.)      2 часть;2;363,00
1.1.1.3.4.2;VEN000000000425746;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд, Оралова О.В. / Под ред. Вербицкой М.В. ;Английский язык. 3 класс.( В 2 ч.)      1 часть с CD диском;3;388,00
1.1.1.3.4.2;VEN000000000425745;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд, Оралова О.В. / Под ред. Вербицкой М.В. ;Английский язык. 3 класс.( В 2 ч.)     2 часть ;3;363,00
1.1.1.3.4.3;VEN000000000425692;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд / Под ред. Вербицкой М.В.;Английский язык. 4 класс (В 2 ч.)            1 часть с CD диском;4;388,00
1.1.1.3.4.3;VEN000000000425693;Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд / Под ред. Вербицкой М.В.;Английский язык. 4 класс( В 2 ч.)           2 часть;4;363,00
1.1.1.3.15.1;VEN000000000425694;Сурьялайнен И.А., Потапова Е.А. / Под ред. Старшовой Т.И.;Финский язык. 2 класс. (В 2 ч.)             1 часть с CD диском;2;413,00
1.1.1.3.15.1;VEN000000000425708;Сурьялайнен И.А., Потапова Е.А. / Под ред. Старшовой Т.И.;Финский язык. 2 класс.( В 2 ч.)                   2 часть;2;339,00
1.1.1.3.15.2;VEN000000000425716;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И. ;Финский язык. 3 класс. (В 2 ч. )                1 часть с CD диском;3;413,00
1.1.1.3.15.2;VEN000000000425715;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И. ;Финский язык. 3 класс. (В 2 ч. )               2 часть;3;339,00
1.1.1.3.15.3;VEN000000000425713;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И.;Финский язык. 4 класс. (В 2 ч. )               1 часть с CD диском;4;413,00
1.1.1.3.15.3;VEN000000000425714;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И.;Финский язык. 4 класс.( В 2 ч. )                      2 часть;4;339,00
1.1.2.1.10.1;VEN000000000425997;Рудницкая В.Н., Кочурова Е.Э., Рыдзе О.А.;Математика. 1 класс. В 2 ч. ;1;339,00
1.1.2.1.10.1;VEN000000000426024;Рудницкая В.Н., Кочурова Е.Э., Рыдзе О.А.;Математика. 1 класс. В 2 ч. ;1;339,00
1.1.2.1.10.2;DRF000000000722797;Рудницкая В.Н., Юдачёва Т.В.;Математика. 2 класс. В 2 ч. ;2;358,00
1.1.2.1.10.2;DRF000000000722798;Рудницкая В.Н., Юдачёва Т.В.;Математика. 2 класс. В 2 ч. ;2;358,00
1.1.2.1.10.3;DRF000000000722799;Рудницкая В.Н., Юдачёва Т.В.;Математика. 3 класс. В 2 ч. ;3;363,00
1.1.2.1.10.3;DRF000000000722800;Рудницкая В.Н., Юдачёва Т.В.;Математика. 3 класс. В 2 ч. ;3;363,00
1.1.2.1.10.4;VEN000000000425981;Рудницкая В.Н., Юдачёва Т.В.; Математика. 4 класс. В 2 ч. ;4;363,00
1.1.2.1.10.4;VEN000000000425962;Рудницкая В.Н., Юдачёва Т.В.; Математика. 4 класс. В 2 ч. ;4;363,00
1.1.2.1.7.1;VEN000000000425908;Минаева С.С., Рослова Л.О., Рыдзе О.А., Фёдорова Л.И., Булычёв В.А. / Под ред. Булычёва В.А. ;Математика. 1 класс. В 2 ч.;1;336,00
1.1.2.1.7.1;VEN000000000425909;Минаева С.С., Рослова Л.О., Рыдзе О.А., Фёдорова Л.И., Булычёв В.А. / Под ред. Булычёва В.А. ;Математика. 1 класс. В 2 ч.;1;336,00
1.1.2.1.7.2;VEN000000000425979;Минаева С.С., Рослова Л.О., Рыдзе О.А. / Под ред. Булычёва В.А. ;Математика. 2 класс. В 2 ч.;2;347,00
