ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
1.1.1.1.11.1;DRF000000000421699;Дрофа;1;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 1 класс;75;0,18;Русский язык. 1 класс (Лицензия 1 год)
1.1.1.1.11.2;DRF000000000421700;Дрофа;2;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 2 класс. Часть 1;75;0,18;Русский язык. 2 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421883;Дрофа;2;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 2 класс. Часть 2;75;0,18;Русский язык. 2 класс. Часть 2 (Лицензия 1 год)
1.1.1.1.11.3;DRF000000000421701;Дрофа;3;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 3 класс. Часть 1;75;0,18;Русский язык. 3 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421885;Дрофа;3;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 3 класс. Часть 2;75;0,18;Русский язык. 3 класс. Часть 2 (Лицензия 1 год)
1.1.1.1.11.4;DRF000000000421702;Дрофа;4;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 4 класс. Часть 1;75;0,18;Русский язык. 4 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421886;Дрофа;4;УМК Рамзаевой. Русский язык (1-4);Рамзаева Т. Г.;Русский язык. 4 класс. Часть 2;75;0,18;Русский язык. 4 класс. Часть 2 (Лицензия 1 год)
1.1.1.2.8.1;DRF000000000421721;Дрофа;1;УМК Рамзаевой. Русский язык (1-4);Тимченко Л. И., Корепова К. Е., Грехнёва Г. М.;Азбука. 1 класс. Часть 1;75;0,18;Азбука. 1 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421794;Дрофа;1;УМК Рамзаевой. Русский язык (1-4);Тимченко Л. И., Корепова К. Е., Грехнёва Г. М.;Азбука. 1 класс. Часть 2;75;0,18;Азбука. 1 класс. Часть 2 (Лицензия 1 год)
1.1.1.2.8.2;DRF000000000421722;Дрофа;1;УМК Грехневой. Литературное чтение (1-4);Грехнёва Г. М., Корепова К. Е.;Литературное чтение. 1 класс. Часть 1;75;0,18;Литературное чтение. 1 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421795;Дрофа;1;УМК Грехневой. Литературное чтение (1-4);Грехнёва Г. М., Корепова К. Е.;Литературное чтение. 1 класс. Часть 2;75;0,18;Литературное чтение. 1 класс. Часть 2 (Лицензия 1 год)
