04-0147-01_l5;Климанова Л.Ф., Макеева С. Г.;Азбука. 1 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. Обучение грамоте (1);Перспектива;99.99.99.99.99.99;181
04-0148-01_l5;Климанова Л.Ф., Макеева С. Г.;Азбука. 1 класс. В 2-х ч. Ч.2. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. Обучение грамоте (1);Перспектива;99.99.99.99.99.99;181
04-0149-01_l5;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 2-х ч. Ч. 1. Электронная форма учебника.  (Лицензия 5 лет);1;Горецкий В.Г. (1);Школа России;99.99.99.99.99.99;181
04-0150-01_l5;Горецкий В. Г., Кирюшкин В. А., Виноградская Л. А. и др.;Азбука. 1 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);1;Горецкий В.Г. (1);Школа России;99.99.99.99.99.99;181
05-0532-02_l5;Азнабаева Ф. Ф., Артеменко О. И., Скороспелкина Г. С. и др.;Азбука. 1 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);1;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
05-0533-02_l5;Азнабаева Ф. Ф., Турова Г. А., Артеменко О. И.;Русский язык. 1 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);1;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
05-0534-02_l5;Азнабаева Ф. Ф., Артеменко О. И., Турова Г. А.;Русский язык. 2 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);2;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
05-0535-02_l5;Азнабаева Ф. Ф., Артеменко О. И.;Русский язык. 3 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);3;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
05-0536-02_l5;Азнабаева Ф. Ф., Артеменко О. И.;Русский язык. 4 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);4;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
05-0538-01_l5;Канакина В. П.;Русский язык. 1 класс. Электронная форма учебника.  (Лицензия 5 лет);1;Канакина В.П. (1-4);Школа России;99.99.99.99.99.99;181
