2П080-04;ЭФУ;2П136-01;99.99.99.99.99.99;Петерсон Л.Г.;Математика: 1 класс (в трех частях). Ч.1;1;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П081-04;ЭФУ;2П137-01;99.99.99.99.99.100;Петерсон Л.Г.;Математика: 1 класс (в трех частях). Ч.2;1;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П082-04;ЭФУ;2П138-01;99.99.99.99.99.101;Петерсон Л.Г.;Математика: 1 класс (в трех частях). Ч.3;1;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П083-04;ЭФУ;2П139-01;99.99.99.99.99.102;Петерсон Л.Г.;Математика: 2 класс (в трех частях). Ч.1;2;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П084-04;ЭФУ;2П140-01;99.99.99.99.99.103;Петерсон Л.Г.;Математика: 2 класс (в трех частях). Ч.2;2;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П085-04;ЭФУ;2П141-01;99.99.99.99.99.104;Петерсон Л.Г.;Математика: 2 класс (в трех частях). Ч.3;2;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П086-04;ЭФУ;2П142-01;99.99.99.99.99.105;Петерсон Л.Г.;Математика: 3 класс (в трех частях). Ч.1;3;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П087-04;ЭФУ;2П143-01;99.99.99.99.99.106;Петерсон Л.Г.;Математика: 3 класс (в трех частях). Ч.2;3;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П088-04;ЭФУ;2П144-01;99.99.99.99.99.107;Петерсон Л.Г.;Математика: 3 класс (в трех частях). Ч.3;3;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П089-04;ЭФУ;2П145-01;99.99.99.99.99.108;Петерсон Л.Г.;Математика: 4 класс (в трех частях). Ч.1;4;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П090-04;ЭФУ;2П146-01;99.99.99.99.99.109;Петерсон Л.Г.;Математика: 4 класс (в трех частях). Ч.2;4;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П091-04;ЭФУ;2П147-01;99.99.99.99.99.110;Петерсон Л.Г.;Математика: 4 класс (в трех частях). Ч.3;4;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Г065-04;ЭФУ;1Г063-01;99.99.99.99.99.111;"Павлов Д.И., Полежаева О.А., Коробкова Л.Н. и др.; под редакцией А.В. Горячева ";Информатика. 2 класс (в двух частях). Ч.1;2;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Г066-04;ЭФУ;1Г084-01;99.99.99.99.99.112;"Павлов Д.И., Полежаева О.А., Коробкова Л.Н. и др.; под редакцией А.В. Горячева ";Информатика. 2 класс (в двух частях). Ч.2;2;2017;85,00;18%;;;;;;;;;;;;;;;;;;
