ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.1.1.1.5.1;VEN000000000428114;Вентана-Граф;1;УМК Иванова. Русский язык (1-4);Журова Л. Е., Евдокимова А. О.;Букварь. 1 класс. Часть 1;75,00;0,18
1.1.1.1.5.1;VEN000000000428115;Вентана-Граф;1;УМК Иванова. Русский язык (1-4);Журова Л. Е., Евдокимова А. О.;Букварь. 1 класс. Часть 2;75,00;0,18
1.1.1.1.5.2;VEN000000000428116;Вентана-Граф;1;УМК Иванова. Русский язык (1-4);Евдокимова А. О., Кузнецова М. И., Иванов С. В.;Русский язык. 1 класс;75,00;0,18
1.1.1.1.5.3;VEN000000000428117;Вентана-Граф;2;УМК Иванова. Русский язык (1-4);Иванов С. В., Евдокимова А. О., Кузнецова М. И., Петленко Л. В., Романова В. Ю.;Русский язык. 2 класс. Часть 1;75,00;0,18
1.1.1.1.5.3;VEN000000000428118;Вентана-Граф;2;УМК Иванова. Русский язык (1-4);Иванов С. В., Евдокимова А. О., Кузнецова М. И., Петленко Л. В., Романова В. Ю.;Русский язык. 2 класс. Часть 2;75,00;0,18
1.1.1.1.5.4;VEN000000000428121;Вентана-Граф;3;УМК Иванова. Русский язык (1-4);Иванов С. В., Кузнецова М. И., Романова В. Ю.;Русский язык. 3 класс. Часть 2;75,00;0,18
1.1.1.1.5.4;VEN000000000428122;Вентана-Граф;3;УМК Иванова. Русский язык (1-4);Иванов С. В., Кузнецова М. И., Романова В. Ю.;Русский язык. 3 класс. Часть 1;75,00;0,18
1.1.1.1.5.5;VEN000000000428119;Вентана-Граф;4;УМК Иванова. Русский язык (1-4);Иванов С. В., Петленко Л. В., Кузнецова М. И., Романова В. Ю.;Русский язык. 4 класс. Часть 1;75,00;0,18
1.1.1.1.5.5;VEN000000000428120;Вентана-Граф;4;УМК Иванова. Русский язык (1-4);Иванов С. В., Кузнецова М. И., Петленко Л. В., Романова В. Ю.;Русский язык. 4 класс. Часть 2;75,00;0,18
1.1.1.2.1.1;VEN000000000428384;Вентана-Граф;1;УМК Виноградовой. Литературное чтение (1-4);Виноградова Н. Ф., Петрова В. И., Хомякова И. С.;Литературное чтение. 1 класс. Часть 1;75,00;0,18
1.1.1.2.1.1;VEN000000000428385;Вентана-Граф;1;УМК Виноградовой. Литературное чтение (1-4);Хомякова И. С., Петрова В. И., Виноградова Н. Ф.;Литературное чтение. 1 класс. Часть 2;75,00;0,18
1.1.1.2.1.2;VEN000000000428106;Вентана-Граф;2;УМК Ефросининой. Литературное чтение (1-4);Ефросинина Л. А.;Литературное чтение. 2 класс. Часть 1;75,00;0,18
1.1.1.2.1.2;VEN000000000428107;Вентана-Граф;2;УМК Ефросининой. Литературное чтение (1-4);Ефросинина Л. А.;Литературное чтение. 2 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428390;Вентана-Граф;2;УМК Виноградовой. Литературное чтение (1-4);Виноградова Н. Ф., Петрова В. И., Хомякова И. С.;Литературное чтение. 2 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;VEN000000000428391;Вентана-Граф;2;УМК Виноградовой. Литературное чтение (1-4);Хомякова И. С., Петрова В. И., Виноградова Н. Ф.;Литературное чтение. 2 класс. Часть 2;75,00;0,18
1.1.1.2.1.3;VEN000000000428102;Вентана-Граф;3;УМК Ефросининой. Литературное чтение (1-4);Ефросинина Л. А., Оморокова М. И.;Литературное чтение. 3 класс. Часть 1;75,00;0,18
1.1.1.2.1.3;VEN000000000428103;Вентана-Граф;3;УМК Ефросининой. Литературное чтение (1-4);Ефросинина Л. А., Оморокова М. И.;Литературное чтение. 3 класс. Часть 2;75,00;0,18
