ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.1.1.1.2.1;ASE000000000722988;Астрель;1;УМК Андриановой-Желтовской. Русский язык (1-4);Андрианова Т. М.;Букварь. 1 класс.;75,00;0,18
1.1.1.1.2.2;ASE000000000722977;Астрель;1;УМК Андриановой-Желтовской. Русский язык (1-4);Андрианова Т. М., Илюхина В. А.;Русский язык. 1 класс;75,00;0,18
1.1.1.1.2.3;ASE000000000722989;Астрель;2;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 2 класс. Часть 1;75,00;0,18
1.1.1.1.2.3;ASE000000000722990;Астрель;2;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 2 класс. Часть 2;75,00;0,18
1.1.1.1.2.4;ASE000000000722991;Астрель;3;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 3 класс. Часть 1;75,00;0,18
1.1.1.1.2.4;ASE000000000723054;Астрель;3;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 3 класс. Часть 2;75,00;0,18
1.1.1.1.2.5;ASE000000000722976;Астрель;4;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 4 класс. Часть 1;75,00;0,18
1.1.1.1.2.5;ASE000000000722987;Астрель;4;УМК Андриановой-Желтовской. Русский язык (1-4);Желтовская Л. Я., Калинина О. Б.;Русский язык. 4 класс. Часть 2;75,00;0,18
1.1.1.2.3.1;ASE000000000722986;Астрель;1;;Кац Э. Э.;Литературное чтение. 1 класс;75,00;0,18
1.1.1.2.3.2;ASE000000000722984;Астрель;2;;Кац Э. Э.;Литературное чтение. 2 класс. Часть 2;75,00;0,18
1.1.1.2.3.2;ASE000000000722985;Астрель;2;;Кац Э. Э.;Литературное чтение. 2 класс. Часть 1;75,00;0,18
1.1.1.2.3.3;ASE000000000722981;Астрель;3;;Кац Э. Э.;Литературное чтение. 3 класс. Часть 3;75,00;0,18
1.1.1.2.3.3;ASE000000000722982;Астрель;3;;Кац Э. Э.;Литературное чтение. 3 класс. Часть 2;75,00;0,18
1.1.1.2.3.3;ASE000000000722983;Астрель;3;;Кац Э. Э.;Литературное чтение. 3 класс. Часть 1;75,00;0,18
1.1.1.2.3.4;ASE000000000722978;Астрель;4;;Кац Э. Э.;Литературное чтение. 4 класс. Часть 3;75,00;0,18
1.1.1.2.3.4;ASE000000000722979;Астрель;4;;Кац Э. Э.;Литературное чтение. 4 класс. Часть 2;75,00;0,18
1.1.1.2.3.4;ASE000000000722980;Астрель;4;;Кац Э. Э.;Литературное чтение. 4 класс. Часть 1;75,00;0,18
1.1.2.1.2.1;ASE000000000722972;Астрель;1;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 1 класс. Часть 1;75,00;0,18
1.1.2.1.2.1;ASE000000000724277;Астрель;1;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 1 класс. Часть 2;75,00;0,18
1.1.2.1.2.2;ASE000000000722973;Астрель;2;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 2 класс. Часть 1;75,00;0,18
1.1.2.1.2.2;ASE000000000724278;Астрель;2;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 2 класс. Часть 2;75,00;0,18
1.1.2.1.2.3;ASE000000000722971;Астрель;3;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 3 класс. Часть 1;75,00;0,18
1.1.2.1.2.3;ASE000000000724279;Астрель;3;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 3 класс. Часть 2;75,00;0,18
1.1.2.1.2.4;ASE000000000722970;Астрель;4;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 4 класс. Часть 1;75,00;0,18
1.1.2.1.2.4;ASE000000000724280;Астрель;4;УМК Башмакова. Математика (1-4);Башмаков М. И., Нефёдова М. Г.;Математика. 4 класс. Часть 2;75,00;0,18
1.1.3.1.2.1;ASE000000000722534;Астрель;1;УМК Ивченковой. Окружающий мир (1-4);Ивченкова Г. Г., Потапов И. В.;Окружающий мир. 1 класс;75,00;0,18
1.1.3.1.2.2;ASE000000000722540;Астрель;2;УМК Ивченковой. Окружающий мир (1-4);Ивченкова Г. Г., Потапов И. В.;Окружающий мир. 2 класс. Часть 1;75,00;0,18
1.1.3.1.2.2;ASE000000000722541;Астрель;2;УМК Ивченковой. Окружающий мир (1-4);Ивченкова Г. Г., Потапов И. В.;Окружающий мир. 2 класс. Часть 2;75,00;0,18
1.1.3.1.2.3;ASE000000000722544;Астрель;3;УМК Ивченковой. Окружающий мир (1-4);Ивченкова Г. Г., Потапов И. В., Саплина Е. В., Саплин А. И.;Окружающий мир. 3 класс. Часть 1;75,00;0,18
1.1.3.1.2.3;ASE000000000724282;Астрель;3;УМК Ивченковой. Окружающий мир (1-4);Ивченкова Г. Г., Потапов И. В., Саплина Е. В., Саплин А. И.;Окружающий мир. 3 класс. Часть 2;75,00;0,18
