ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
99.99.99.99.99.99;UVE000000000000001;Ювента;1;;Петерсон Л. Г.;Математика. 1 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000002;Ювента;1;;Петерсон Л. Г.;Математика. 1 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000003;Ювента;1;;Петерсон Л. Г.;Математика. 1 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000004;Ювента;2;;Петерсон Л. Г.;Математика. 2 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000005;Ювента;2;;Петерсон Л. Г.;Математика. 2 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000006;Ювента;2;;Петерсон Л. Г.;Математика. 2 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000007;Ювента;3;;Петерсон Л. Г.;Математика. 3 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000008;Ювента;3;;Петерсон Л. Г.;Математика. 3 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000009;Ювента;3;;Петерсон Л. Г.;Математика. 3 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000010;Ювента;4;;Петерсон Л. Г.;Математика. 4 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000011;Ювента;4;;Петерсон Л. Г.;Математика. 4 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000012;Ювента;4;;Петерсон Л. Г.;Математика. 4 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000013;Ювента;5;;Дорофеев Г. В., Петерсон Л. Г.;Математика. 5 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000014;Ювента;5;;Петерсон Л. Г., Дорофеев Г. В.;Математика. 5 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000015;Ювента;6;;Дорофеев Г. В., Петерсон Л. Г.;Математика. 6 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000016;Ювента;6;;Петерсон Л. Г., Дорофеев Г. В.;Математика. 6 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000017;Ювента;6;;Петерсон Л. Г., Дорофеев Г. В.;Математика. 6 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000018;Ювента;7;;Петерсон Л. Г., Абраров Д. Л., Чуткова Е. В.;Алгебра. 7 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000019;Ювента;7;;Петерсон Л. Г., Абраров Д. Л., Чуткова Е. В.;Алгебра. 7 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000020;Ювента;7;;Петерсон Л. Г., Абраров Д. Л., Чуткова Е. В.;Алгебра. 7 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000021;Ювента;8;;Петерсон Л. Г., Агаханов Н. Х., Петрович А. Ю., Подлипский О. К., Рогатова М. В., Трушин Б. В.;Алгебра. 8 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000022;Ювента;8;;Петерсон Л. Г., Агаханов Н. Х., Петрович А. Ю., Подлипский О. К., Рогатова М. В., Трушин Б. В.;Алгебра. 8 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;UVE000000000000023;Ювента;8;;Петерсон Л. Г., Агаханов Н. Х., Петрович А. Ю., Подлипский О. К., Рогатова М. В., Трушин Б. В.;Алгебра. 8 класс. Часть 3;75,00;0,18
99.99.99.99.99.99;UVE000000000000024;Ювента;9;;Петерсон Л. Г., Агаханов Н. Х., Петрович А. Ю., Подлипский О. К., Рогатова М. В., Трушин Б. В.;Алгебра. 9 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;UVE000000000000025;Ювента;9;;Петерсон Л. Г., Агаханов Н. Х., Петрович А. Ю., Подлипский О. К., Рогатова М. В., Трушин Б. В.;Алгебра. 9 класс. Часть 2;75,00;0,18
