ID;NAME
185;Агинский район
186;Агинское (пгт)
187;Акшинский район
188;Александрово-Заводский район
189;Балейский район
190;Борзинский район
191;Газимуро-Заводский район
192;Горный (городской округ ЗАТО пос.)
193;Дульдургинский район
194;Забайкальский район
195;Каларский район
196;Калганский район
197;Карымский район
198;Краснокаменский район
199;Красночикойский район
200;Кыринский район
201;Министерство образования ЗК
202;Могойтуйский район
203;Могочинский район
204;Нерчинский район
205;Нерчинско-Заводский  район
206;Оловяннинский район
207;Ононский район
208;Петровск-Забайкальский (город)
209;Петровск-Забайкальский район
210;Приаргунский район
211;Сретенский район
212;Тунгиро-Олекминский район
213;Тунгокоченский район
214;Улётовский район
215;Хилокский район
216;Чернышевский район
217;Чита (город)
218;Читинский район
219;Шелопугинский район
220;Шилкинский район
