Муниципалитет;Полное наименование;ОГРН;ИНН;КПП;ПФР;ОКПО;ОКОГУ;ОКФС;ОКОПФ;Индекс;Область;Район;Населённый пункт;Район города;Улица;Дом;Телефон;E-mail;Расчётный счёт;В банке;БИК;Директор (ФИО, им.падеж);Директор (ФИО, род.падеж);Действует на основании (род.падеж);Отв. за заказ (ФИО);Отв. за заказ (Должность);Отв. за заказ (Телефон);Администратор школы;Лицевой счет в банке;Статус школы;ID
244;МБОУ Большевистская СОШ;1,03E+12;7516001219;751601001;;;;;;674482;207;Ононский район;с. Большевик;;ул. Школьная;4;3025243616;shs_blsh.onns@zabedu.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;472
244;МОУ Верхнецасучейская СОШ;1,03E+12;7516000952;751601001;;;;;;674485;207;Ононский район;с. Верхний Цасучей;;ул. Гагарина;27б;3025241816;vc-sosh@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;475
244;МБОУ Кубухайская ООШ;1,11E+12;7516002942;751601001;;;;;;674471;207;Ононский район;с. Кубухай;; ул. Молодежная;11;3025244236;kubuhayskaysosh@rambler.ru;4,07E+19;отделение Чита;;;;;;;;;20916Ч56430;1;471
244;МБОУ Нижнецасучейская СОШ;1,03E+12;7516001201;751601001;;;;;;674480;207;Ононский район;с. Нижний Цасучей;;ул. Советская;22;3025241229;shkolanc@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;476
244;МБОУ Новодурулгуйская СОШ;1,03E+12;7516002974;751601001;;;;;;674484;207;Ононский район;с. Новый Дурулгуй;;ул.Школьная;24;3025243335;ndsoh@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005200;1;473
244;МБОУ Новозоринская СОШ;1,03E+12;7516000078;751601001;;;;;;674491;207;Ононский район;с. Новая Заря;;ул.Центральная;26;3025245396;schoolzarja@yandex.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005210;1;474
244;МБОУ Первочиндантская ООШ;1,12E+12;7516003079;751601001;;;;;;674490;207;Ононский район;с. Чиндант-1;; ул. Школьная;6;3025245518;chindant@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005230;1;478
244;МОУ Усть-Борзинская ООШ;1,11E+12;7516002981;751601001;;;;;;674475;207;Ононский район;с. Усть-Борзя;;ул. Школьная;1;30252;schoolub@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;470
244;МОУ Тут-Халтуйская ООШ;1,03E+12;7516000920;751601001;;;;;;674483;207;Ононский район;с. Тут-Халтуй;;ул. Школьная;54;3025243111;khaltuyanochkas@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;704
244;МБОУ Буйлэсанская СОШ;1,03E+12;7516000021;751601001;;;;;;674494;207;Ононский район;с. Буйлэсан;;ул. Центральная;31;3025241605;sholabujlehsan@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;723
244;МОУ Кулусутайская СОШ;1,03E+12;7516000222;751601001;;;;;;674492;207;Ононский район;с. Кулусутай;;ул. Школьная;6;3025243568;kozhevin-olga@yandex.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;722
244;МБОУ Красноималкинская ООШ;1,11E+12;7516002950;751601001;;;;;;674495;207;Ононский район;с. Красная Ималка;;ул. Школьная;4;3025244331;sho_kras.onns@zabedu.ru;4,01E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч47710;1;724
244;МБОУ Холуй-Базинская НОШ;1,03E+12;7516001018;751601001;;;;;;674485;208;Ононский район;с. Холуй-База;;ул. Центральная;1;30252;shn_holb.onns@zabedu.ru;;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;;1;725
245;МОУ гимназия № 1;1,03E+12;7531002859;753101001;;;;;;673005;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; ул. Спортивная;20;3025231406, 32283, 32474;gimnaziy3@rambler.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913006260;1;152
245;МОУ-СОШ №1 г. П-Забайкальский;1,03E+12;7531002834;753101001;;;;;;673009;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; мкр. Федосеевка;3;3023683023621085, 89144891895;shs_petz_1.gptz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913006180;1;144
245;МОУ СОШ № 2 имени В.А.Орлова;1,03E+12;7531002753;753101001;;;;;;673002;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; ул. Лесная;23;3023621518, 89144925730;shs_petz_2.gptz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913006170;1;145
245;МОУ СОШ № 3;1,03E+12;7531002873;753101001;;;;;;673010;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; ул.Чехова;14;3023632271;shs_petz_3.gptz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913006100;1;146
245;МОУ СОШ № 4;1,03E+12;7531002866;753101001;;;;;;673009;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; ул. Горбачевского;17;3023622227, 89244712450;shs_petz_4.gptz@zabedu.ru;4,02E+19;ГРКЦГУ Петровск - Забайкальского банка по Забайкальскому краю;;;;;;;;;3913006130;1;147
245;МОУ - средняя общеобразовательная школа №6;1,03E+12;7531002827;753101001;;;;;;673005;208;Петровск-Забайкальский район;Петровск-Забайкальский ;; ул. Ленина;16;3023632230;school6pz@mail.ru;4,02E+19;ГРКЦГУ Петровск - Забайкальского банка по Забайкальскому краю;;;;;;;;;3913006140;1;149
246;МОУ ООШ с. Катаево;1,03E+12;7531002584;753101001;;;;;;673016;209;Петровск-Забайкальский район;с. Катаево;;ул. Школьная;1;3023643391;shs_katv.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;239
246;МОУ СОШ п. Баляга;1,03E+12;7531002545;753101001;;;;;;673020;209;Петровск-Забайкальский район;п. Баляга;; ул. Нагаева;7;3023642222;tom_baliaga@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;248
246;МОУ СОШ c. Тарбагатай;1,03E+12;7531003122;753101001;;;;;;673040;209;Петровск-Забайкальский район;c. Тарбагатай;;ул. Кооперативная;26;3023645524;pztarbschool@mail.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;247
246;МОУ ООШ с. Усть-Обор;1,03E+12;7531002591;753101001;;;;;;673000;209;Петровск-Забайкальский район;с. Усть-Обор;;ул. Центральная;18а;3023646117;shs_uobr.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;236
246;МОУ ООШ с. Пески;1,03E+12;7531002552;753101001;;;;;;673015;209;Петровск-Забайкальский район;с. Пески;;ул. Вакарина;40;3023644117;sho_pesk.petz@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч35710;1;233
246;МБОУ ООШ с. Баляга;1,03E+12;7531002538;753101001;;;;;;673020;209;Петровск-Забайкальский район;с. Баляга;;ул. Балягинская;20;3023642283;sho_balg.petz@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;20916Ч40740;1;246
246;МОУ НОШ с. Баляга-Катангар;1,03E+12;7517001370;775310100;;;;;;673000;209;Петровск-Забайкальский район;с. Баляга-Катангар;;ул. Улан-Туя;13;3023642-5-94;sho_tolb.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;242
246;МОУ НОШ с. Зугмара;1,03E+12;7531002175;753101001;;;;;;673030;209;Петровск-Забайкальский район;с. Зугмара;;ул. Школьная;2;30236+7-914-486-4757;shn_zugm.petz@zabedu.ru;4,07E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;21916Ч40710;1;240
246;МОУ ООШ л/у Катангар;1,03E+12;7531002560;753101001;;;;;;673018;209;Петровск-Забайкальский район;лу Катангар;;ул. Школьная;2;30236;sho_katn.petz@zabedu.ru;4,02E+19;ГРКЦ ГУ Банка России по Забайкальскому краю г.Чита;;;;;;;;;3913005870;1;232
