IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
237786;231589;231590;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231589;105;;;
237787;231591;231592;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231591;105;;;
237788;231593;231594;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231593;105;;;
237789;231595;231596;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231595;105;;;
237790;231597;231598;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231597;105;;;
237791;231599;231600;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231599;105;;;
237792;231601;231602;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231601;105;;;
237793;231603;231604;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231603;105;;;
237794;231605;231606;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231605;105;;;
237795;231607;231608;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231607;105;;;
237796;231609;231610;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231609;105;;;
237797;231611;231612;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231611;105;;;
237798;231613;231614;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231613;105;;;
237799;231615;231616;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231615;105;;;
237800;231617;231618;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231617;105;;;
237801;231619;231620;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231619;105;;;
237802;231621;231622;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231621;105;;;
237803;231623;231624;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231623;105;;;
237804;231625;231626;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231625;105;;;
237805;231627;231628;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231627;105;;;
237806;231629;231630;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231629;105;;;
237807;231631;231632;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231631;105;;;
237808;231633;231634;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231633;105;;;
237809;231635;231636;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231635;105;;;
237810;231637;231638;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231637;105;;;
237811;231639;231640;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231639;105;;;
237812;231641;231642;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231641;105;;;
237813;231643;231644;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231643;105;;;
