MunID;FullName;Name;OGRN;INN;KPP;PFR;OKPO;OKOGU;OKFS;OKOPF;Index;Region;Raion;Place;Town_part;Street;Flat;Phone;Email;RaschSchet;InBank;BIK;DIRFIO1;DIRFIO2;Act1;OtvFIO;OtvDOL;OtvPhone;Admin;LS;Status
185;Комитет образования Агинского района;Комитет образования Агинского района;1068080001527;8001011546;800101001;;;;;;687000;184;Агинский район; п.Агинское;;ул. Базар Ринчино;84;30239 34274;Rmk_Aginskoe@mail.ru;4020481010000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4891;3913006750;1
185;МОУ Хойто-Агинская СОШ;МОУ Хойто-Агинская СОШ;1068080008963;8001012010;800101001;;;;;;687599;184;Агинский район;с. Хойто-Ага;; ул. Школьная;5;89243798921;khoito-aga@mail.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4894;3913007130;1
185;МОУ Сахюртинская СОШ;МОУ Сахюртинская СОШ;1068080005135;800101164;800101001;;;;;;687599;184;Агинский район;с. Сахюрта;;ул. Пионерская;2;30239 41117;Shs_sahr.agns@zabedu.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;;3913007060;1
185;МОУ Южно-Аргалейская СОШ;МОУ Южно-Аргалейская СОШ;1068080009722;8001012109;800101001;;;;;;687512;184;Агинский район; с.Южный Аргалей;;;;30239 44143;;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;;3913007230;1
185;МОУ Челутайская СОШ;МОУ Челутайская СОШ;1028002323832;8001011680;800101001;;;;;;687513;184;Агинский район;с. Челутай;;ул. Дылгырова;2;30239 45131;shs_chel.agns@zabedu.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4934;3913007200;1
185;МОУ Орловская СОШ;МОУ Орловская СОШ;1068080009744;8001012116;800101001;;;;;;687510;184;Агинский район;п. Орловский;;ул. Промышленная;10;30239 37336;school_orl@mail.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4935;3913007000;1
185;МОУ Новоорловская СОШ;МОУ Новоорловская СОШ;1068080008040;8001011923;800101001;;;;;;687520;184;Агинский район; пгт. Новоорловский;;;28;30239 51048;novoorlovck@yandex.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4936;3913007850;1
185;МОУ Цокто-Хангильская СОШ им. Ч-Л.Базарона;МОУ Цокто-Хангильская СОШ им. Ч-Л.Базарона;1028080006928;8001011828;800101001;;;;;;678013;184;Агинский район;с. Цокто-Хангил;;Ленина;46;30239 33191;tsokto_khangil@mail.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4937;3913007160;1
185;МОУ Судунтуйская СОШ;МОУ Судунтуйская СОШ;1068080010415;8001012236;80010100;;;;;;687599;184;Агинский район; с. Судунтуй;;ул.Центральная;23;30239 36115;shs_sudn.agns@zabedu.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4938;3913007030;1
185;МОУ «Будуланская СОШ»;МОУ «Будуланская СОШ»;1068080008590;8001011962;800101001;;;;;;684485;184;Агинский район;с. Будулан;;ул. Советская;8;30239 42133;shs_budl.agns@zabedu.ru;40701810700001000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4939;20916456860;1
185;МОУ Гунэйская СОШ;МОУ Гунэйская СОШ;1068080006334;8001011786;800101001;;;;;;674160;184;Агинский район;с. Гунэй;;ул. Школьная;20;30239 46133;guney@mail.ru;4020481010000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4940;3913006930;1
185;МБОУ Амитхашинская СОШ;МБОУ Амитхашинская СОШ;1068080007577;8001011899;800101001;;;;;;674637;184;Агинский район; с.Амитхаша;;пер. Школьный;12;30239 43156;;40701810700001000000;Отделение по Агинскому Бурятскому округу УФК по Забайкальскому краю;;;;;;;;4945;20916U68950;1
185;МОУ Урда-Агинская СОШ;МОУ Урда-Агинская СОШ;1068080010228;8001012204;800101001;;;;;;674485;184;Агинский район; с. Урда-Ага;;ул. Школьная;1;30239 48137;;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;4946;0;1
185;МБОУ Кункурская СОШ им Героя Социалистического Труда Пурбуева Д.Ц.;МБОУ Кункурская СОШ им Героя Социалистического Труда Пурбуева Д.Ц.;1028002323304;8001004281;800101001;;;;;;687599;184;Агинский район;с. Кункур;; ул. Школьная;15;30239 47125;;40204810100000000000;БИК 047601001;;;;;;;;;3913006960;1
185;МОУ Адон-Челонская НОШ;МОУ Адон-Челонская НОШ;1097580000814;8001016199;800101001;;;;;;674415;184;Агинский район; с. Лаха;;с. Лаха;;89243880653;adonchelon15031993@yandex.ru;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;5059;39130067;1
185;МОУ Баян-Булакская НОШ;МОУ Баян-Булакская НОШ;1097580000803;8001016181;800101001;;;;;;687000;184;Агинский район;с. Баян-Булак;;с. Баян-Булак;;89245764649;;40204810100000000000;ГРКЦ ГУ Банка России по Забайкальскому краю;;;;;;;;5097;3913006750;1
185;МБОУ центр «Ариадна»;МБОУ центр «Ариадна»;1028002319883;8001005912;800101001;;;;;;687000;184;Агинский район;п. Агинское;;пер. Коммунальный;9;30239 35757;;40701810700001000000;ГРКЦ ГУ БАНКА РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ;;;;;;;;;20916U69410;1
